name,age,job,nationality,description,"
"
Nicola Adams,32,Boxer,British,Nicola is the world’s first female boxing Olympic champion and is the current Commonwealth Games and European Games flyweight champion. She was awarded an MBE in 2013 for her services to boxing.,"
"
Muzzon al-Mellehan,17,Campaigner,Syrian,"Muzzon fled with her parents and three younger siblings to Jordan in 2013, and lives in al-Azraq refugee camp. She has been dubbed the 'Malala of Syria' for her campaign to keep Syrian girls like her in the camp’s makeshift school, rather than being married off.","
"
Siba Alaradi,27,"Structural engineer, now volunteer",Syrian,"Siba and her family fled from war-torn Damascus to Istanbul. She often felt lonely and disheartened until she heard about a community centre in Istanbul for people displaced by the war in Syria. Working with the children there has given Siba, a structural engineer who graduated from Damascus University, an opportunity to give something back and be part of a diverse and supportive community.","
"
Antonia Albert,25,Entrepreneur,Austrian,"Antonia co-founded Careship, an online marketplace for elderly care, with her brother Nikolaus earlier this year. After finding it difficult to find care for their ill grandmother, they wanted to give users straight-forward access to qualified and certified professionals. Antonia features in our '30 under 30' strand.","
"
Sonita Alizadeh,18,Rapper,Afghan,Sonita narrowly escaped being sold into marriage as a young girl by writing the song Brides for Sale. She now uses her powerful voice and poetic lyrics to advocate an end to forced marriage across the world.,"
"
Victoria Alonsoperez,28,Entrepreneur,Uruguayan,"After studying space engineering she became one of the founders of ieeTECH, which looks for engineering solutions to agricultural problems. The company uses satellites to monitor tagged cattle so farmers can track livestock and detect signs of disease. Victoria appears in our '30 under 30' strand.","
"
Niloufar Ardalan,30,Footballer,Iranian,"Niloufar is the captain of Iran's women’s football team. Known locally as Lady Goal, she became a somewhat reluctant feminist icon after her husband refused to allow her to travel abroad for a tournament.","
"
Paulina Arreola,24,Entrepreneur,Mexican,"Paulina is CEO and co-founder of Lavadero in Mexico City, which collects dirty washing. The company either washes or dry cleans the items before delivering them back to the customer. Paulina features in our '30 under 30' strand.","
"
Masoumeh Ataei,31,Acid attack survivor,Iranian,"Blinded and scarred for life after suffering an acid attack at the hands of her ex father-in-law, she then fought for custody of her young son, which was to have been awarded to the family who blinded her. She eventually won her battle and now campaigns on the issue of acid attacks.","
"
Xyza Bacani,28,Photographer,Filipino,"Having worked as a domestic worker in Hong Kong for almost a decade, Xyza tells the stories of the victims of human rights violations through photography. She is one of the Magnum Foundation Human Rights Fellows 2015 and is currently based in New York.","
"
